year,month,age,usertype,Trips,Avgtripdur
2018,Feb,84,Subscriber,52,13.31442308
2018,Feb,85,Subscriber,39,8.997435897
2018,Feb,86,Subscriber,28,6.326785714
2018,Feb,87,Subscriber,10,11.04333333
2018,Feb,89,Subscriber,6,5.508333333
2018,Feb,92,Subscriber,1,5.75
2018,Feb,95,Subscriber,68,17.36029412
2018,Feb,97,Subscriber,17,3.728431373
2018,Feb,99,Subscriber,8,26.82708333
2018,Feb,100,Subscriber,4,6.804166667
2018,Feb,101,Subscriber,5,9.91
2018,Feb,102,Subscriber,1,6.083333333
2018,Feb,106,Subscriber,22,17.15530303
2018,Feb,108,Subscriber,22,3.481818182
2018,Feb,111,Subscriber,1,6.633333333
2018,Feb,117,Subscriber,15,18.8
2018,Feb,118,Subscriber,575,6.113014493
2018,Feb,119,Subscriber,19,18.5877193
2018,Feb,124,Subscriber,16,9.3
2018,Feb,129,Subscriber,1,23.51666667
2018,Feb,130,Subscriber,8,16.9375
2018,Feb,131,Subscriber,52,11.55064103
2018,Feb,132,Subscriber,5,7.79
2018,Feb,133,Subscriber,27,11.02407407
2018,Mar,16,Customer,19,517.7815789
2018,Mar,16,Subscriber,62,9.557258065
2018,Mar,17,Customer,126,40.70753968
2018,Mar,17,Subscriber,821,10.59677223
2018,Mar,18,Customer,113,39.50412979
2018,Mar,18,Subscriber,1715,10.28269193
2018,Mar,19,Customer,346,23.70708092
2018,Mar,19,Subscriber,2784,10.15108956
2018,Mar,20,Customer,393,22.60347752
2018,Mar,20,Subscriber,4673,11.09749626
2018,Mar,21,Customer,333,28.0036036
2018,Mar,21,Subscriber,6013,11.14555131
2018,Mar,22,Customer,430,41.0994186
2018,Mar,22,Subscriber,7757,10.55258906
2018,Mar,23,Customer,554,303.2243381
2018,Mar,23,Subscriber,12300,12.38040515
2018,Mar,24,Customer,602,26.64368771
2018,Mar,24,Subscriber,17593,12.63712556
2018,Mar,25,Customer,614,26.27138979
2018,Mar,25,Subscriber,26392,11.45379408
2018,Mar,26,Customer,755,20.94346578
2018,Mar,26,Subscriber,30478,10.93790986
2018,Mar,27,Customer,712,29.86273408
2018,Mar,27,Subscriber,33549,11.89017656
2018,Mar,28,Customer,774,34.38111542
2018,Mar,28,Subscriber,35640,11.5256589
2018,Mar,29,Customer,879,82.27768297
2018,Mar,29,Subscriber,35924,11.47322356
2018,Mar,30,Customer,850,96.58754902
2018,Mar,30,Subscriber,36338,11.40101455
2018,Mar,31,Customer,662,27.08338369
2018,Mar,31,Subscriber,33984,11.73908751
2018,Mar,32,Customer,590,30.17423729
2018,Mar,32,Subscriber,34079,10.87062707
2018,Mar,33,Customer,436,40.12358563
2018,Mar,33,Subscriber,34338,12.1106568
2018,Mar,34,Customer,446,602.2613602
2018,Mar,34,Subscriber,30966,10.91380546
2018,Mar,35,Customer,380,61.19307018
2018,Mar,35,Subscriber,29344,15.17218625
2018,Mar,36,Customer,515,21.06915858
2018,Mar,36,Subscriber,27884,12.48056532
2018,Mar,37,Customer,252,45.93776455
